2026-04-28T11:48:36.520Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T11:50:34.450Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:35.380Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:35.381Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad.\nQuiero que se me solucione rapido por favor.","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:35.677Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:35.678Z | WARN | GitHub RCA lookup failed | {"ticketId":"db9b907c-cae6-4a4b-a92e-1fcd87288be5","query":"Beim Start des Computers erscheint ein schwarzer Bildschirm. Ich habe ihn mehrmals neu gestartet aber das Problem bleibt","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T11:50:40.210Z | INFO | Completed SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","total":2,"overdue":1,"atRisk":1,"escalated":0}
2026-04-28T12:01:37.025Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","vip":true,"riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T12:01:39.953Z | WARN | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":1,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 400: Failed to run sql query: ERROR:  42703: column t.metadata does not exist\nLINE 12:     t.metadata\n             ^\n"}
2026-04-28T12:01:42.855Z | WARN | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":2,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 400: Failed to run sql query: ERROR:  42703: column t.metadata does not exist\nLINE 12:     t.metadata\n             ^\n"}
2026-04-28T12:01:45.481Z | ERROR | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":3,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 400: Failed to run sql query: ERROR:  42703: column t.metadata does not exist\nLINE 12:     t.metadata\n             ^\n"}
2026-04-28T12:03:17.084Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","vip":true,"riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T12:03:18.587Z | WARN | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":1,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 400: Failed to run sql query: ERROR:  42601: syntax error at or near \"FROM\"\nLINE 12:   FROM tickets t\n           ^\n"}
2026-04-28T12:03:20.998Z | WARN | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":2,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 400: Failed to run sql query: ERROR:  42601: syntax error at or near \"FROM\"\nLINE 12:   FROM tickets t\n           ^\n"}
2026-04-28T12:03:24.050Z | ERROR | Composio tool execution failed | {"toolSlug":"SUPABASE_BETA_RUN_SQL_QUERY","attempt":3,"retries":3,"error":"Composio tool SUPABASE_BETA_RUN_SQL_QUERY failed: SQL query failed with status 400: Failed to run sql query: ERROR:  42601: syntax error at or near \"FROM\"\nLINE 12:   FROM tickets t\n           ^\n"}
2026-04-28T12:03:59.086Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","vip":true,"riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T12:04:02.373Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:04:03.628Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:04:03.629Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:04:04.327Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:04:05.550Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:04:05.551Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad.\nQuiero que se me solucione rapido por favor.","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:04:11.460Z | WARN | audit_runs table unavailable or unreadable | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","error":"Could not find the table 'public.audit_runs' in the schema cache"}
2026-04-28T12:04:13.157Z | WARN | Unable to persist audit run | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","error":"Could not find the table 'public.audit_runs' in the schema cache"}
2026-04-28T12:04:13.158Z | INFO | Completed SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","total":2,"overdue":1,"atRisk":1,"vip":2,"overallSeverity":"critical"}
2026-04-28T12:12:49.191Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","vip":true,"riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T12:12:52.529Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:12:53.661Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:12:53.661Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:12:54.298Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:12:55.551Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:12:55.551Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad.\nQuiero que se me solucione rapido por favor.","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:13:00.326Z | INFO | Completed SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","total":2,"overdue":1,"atRisk":1,"vip":2,"overallSeverity":"critical"}
2026-04-28T12:15:40.152Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","vip":true,"riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T12:15:42.536Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:15:43.878Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:15:43.879Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:15:44.666Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:15:46.111Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:15:46.112Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad.\nQuiero que se me solucione rapido por favor.","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:15:49.289Z | INFO | Completed SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","total":2,"overdue":1,"atRisk":1,"vip":2,"overallSeverity":"critical"}
2026-04-28T12:19:03.778Z | INFO | Starting SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","organizationLabel":"vidal-real-estate","vip":true,"riskWindowHours":4,"overdueThresholdHours":24,"escalationThresholdHours":48,"dryRun":false}
2026-04-28T12:19:07.110Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:19:08.418Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:19:08.418Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:19:09.158Z | WARN | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":1,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:19:10.461Z | ERROR | Composio tool execution failed | {"toolSlug":"GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS","attempt":2,"retries":2,"error":"Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:19:10.462Z | WARN | GitHub RCA lookup failed | {"ticketId":"15730fa2-3415-44dd-af14-e6415a6c2818","query":"NO puedo instalar una aplicacion de contabilidad.\nQuiero que se me solucione rapido por favor.","error":"Error: Composio tool GITHUB_SEARCH_ISSUES_AND_PULL_REQUESTS failed: Invalid request data provided\n- Following fields are missing: {'q'}"}
2026-04-28T12:19:14.084Z | INFO | Completed SLA audit | {"organizationId":"921f56a8-b2fe-4f24-bae9-fdf4863d4240","total":2,"overdue":1,"atRisk":1,"vip":2,"overallSeverity":"critical"}
